full_text,filtered,cleaned,tokenize,normalisasi
Selamat hari guru jg buat calon guru yang capek bgt ma kurikulum (tidak) merdeka ini https://t.co/boNsgnKm0E,selamat hari guru jg buat calon guru yang capek bgt ma kurikulum tidak merdeka ini,selamat hari guru jg calon guru capek bgt ma kurikulum tidak merdeka,"['selamat', 'hari', 'guru', 'jg', 'calon', 'guru', 'capek', 'bgt', 'ma', 'kurikulum', 'tidak', 'merdeka']","['selamat', 'hari', 'guru', 'juga', 'calon', 'guru', 'kesal', 'sekali', 'ma', 'kurikulum', 'tidak', 'merdeka']"
@mediaindonesia Bukannya kurikulum merdeka mau diganti buu?,bukannya kurikulum merdeka mau diganti buu,bukan kurikulum merdeka ganti buu,"['bukan', 'kurikulum', 'merdeka', 'ganti', 'buu']","['bukan', 'kurikulum', 'merdeka', 'ganti', 'buu']"
@syahrindraaa @GhibahNaqMetal For Kurikulum Merdeka,for kurikulum merdeka,for kurikulum merdeka,"['for', 'kurikulum', 'merdeka']","['untuk', 'kurikulum', 'merdeka']"
Modul ajar ‍‍‍ Duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran https://t.co/6aNtXGZ9bv,modul ajar duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran,modul ajar duhhh siapa udah pernah modul ajar kurikulum merdeka aku ingin minta saran,"['modul', 'ajar', 'duhhh', 'siapa', 'udah', 'pernah', 'modul', 'ajar', 'kurikulum', 'merdeka', 'aku', 'ingin', 'minta', 'saran']","['modul', 'ajar', 'duhhh', 'siapa', 'sudah', 'pernah', 'modul', 'ajar', 'kurikulum', 'merdeka', 'aku', 'ingin', 'minta', 'saran']"
Guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka,guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka,guru baik adalah guru merdeka kurikulum bukan kurikulum merdeka,"['guru', 'baik', 'adalah', 'guru', 'merdeka', 'kurikulum', 'bukan', 'kurikulum', 'merdeka']","['guru', 'baik', 'adalah', 'guru', 'merdeka', 'kurikulum', 'bukan', 'kurikulum', 'merdeka']"
30 Soal PAS Bahasa Indonesia Kelas 3 Semester 1 Kurikulum Merdeka dan Kunci Jawaban SAS https://t.co/shiS45u1hO via @tribunnews,soal pas bahasa indonesia kelas semester kurikulum merdeka dan kunci jawaban sas via,soal bahasa indonesia kelas semester kurikulum merdeka kunci jawab sas via,"['soal', 'bahasa', 'indonesia', 'kelas', 'semester', 'kurikulum', 'merdeka', 'kunci', 'jawab', 'sas', 'via']","['soal', 'bahasa', 'indonesia', 'kelas', 'semester', 'kurikulum', 'merdeka', 'kunci', 'jawab', 'sas', 'via']"
@txtdrbahasa Bukan kurikulum merdeka nih,bukan kurikulum merdeka nih,bukan kurikulum merdeka,"['bukan', 'kurikulum', 'merdeka']","['bukan', 'kurikulum', 'merdeka']"
@n4jaemin kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas² P5,kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas p,kurikulum merdeka bukan merdeka malah cape mampus anjirtt blm lgi tugas p,"['kurikulum', 'merdeka', 'bukan', 'merdeka', 'malah', 'cape', 'mampus', 'anjirtt', 'blm', 'lgi', 'tugas', 'p']","['kurikulum', 'merdeka', 'bukan', 'merdeka', 'malah', 'kesal', 'mati', 'anjirtt', 'blm', 'lagi', 'tugas', 'p']"
@ikonypncfc iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt,iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt,iyaaa soal angkat sekolah pake kurikulum merdeka nyebelin mampusss jd masa coba bgtt,"['iyaaa', 'soal', 'angkat', 'sekolah', 'pake', 'kurikulum', 'merdeka', 'nyebelin', 'mampusss', 'jd', 'masa', 'coba', 'bgtt']","['iya', 'soal', 'angkat', 'sekolah', 'pakai', 'kurikulum', 'merdeka', 'nyebelin', 'mampusss', 'jadi', 'masa', 'coba', 'sekali']"
Tulisan ini merupakan refleksi atas pelaksanaan Kurikulum Merdeka dalam momentum bulan bahasa. Keresahan guru Bahasa Sunda menghadapi transisi pemerintahan baru. https://t.co/xtloMhLYrb,tulisan ini merupakan refleksi atas pelaksanaan kurikulum merdeka dalam momentum bulan bahasa keresahan guru bahasa sunda menghadapi transisi pemerintahan baru,tulis rupa refleksi atas laksana kurikulum merdeka dalam momentum bulan bahasa resah guru bahasa sunda hadap transisi perintah baru,"['tulis', 'rupa', 'refleksi', 'atas', 'laksana', 'kurikulum', 'merdeka', 'dalam', 'momentum', 'bulan', 'bahasa', 'resah', 'guru', 'bahasa', 'sunda', 'hadap', 'transisi', 'perintah', 'baru']","['tulis', 'rupa', 'refleksi', 'atas', 'laksana', 'kurikulum', 'merdeka', 'dalam', 'momentum', 'bulan', 'bahasa', 'resah', 'guru', 'bahasa', 'sunda', 'hadap', 'transisi', 'perintah', 'baru']"
duh gue adalah haters no 1 kurikulum merdeka ️️ apanya yg merdeka sih ️️️️️ sori,duh gue adalah haters no kurikulum merdeka apanya yg merdeka sih sori,gue adalah haters no kurikulum merdeka apa merdeka sori,"['gue', 'adalah', 'haters', 'no', 'kurikulum', 'merdeka', 'apa', 'merdeka', 'sori']","['aku', 'adalah', 'haters', 'no', 'kurikulum', 'merdeka', 'apa', 'merdeka', 'sori']"
@salvationnj projek penguatan profil pelajar pancasila programnya kurikulum merdeka,projek penguatan profil pelajar pancasila programnya kurikulum merdeka,projek kuat profil ajar pancasila program kurikulum merdeka,"['projek', 'kuat', 'profil', 'ajar', 'pancasila', 'program', 'kurikulum', 'merdeka']","['projek', 'kuat', 'profil', 'ajar', 'pancasila', 'program', 'kurikulum', 'merdeka']"
@salsatrash Cireng bukan sembarang cireng pas di buka isinya kurikulum merdeka,cireng bukan sembarang cireng pas di buka isinya kurikulum merdeka,cireng bukan sembarang cireng di buka isi kurikulum merdeka,"['cireng', 'bukan', 'sembarang', 'cireng', 'di', 'buka', 'isi', 'kurikulum', 'merdeka']","['cireng', 'bukan', 'sembarang', 'cireng', 'di', 'buka', 'isi', 'kurikulum', 'merdeka']"
Dari kritik tajam soal Kurikulum Merdeka hingga penghapusan Ujian Nasional diskusi ini mengupas berbagai persoalan yang belum tuntas. Simak rangkuman lengkapnya dalam postingan ini! #nadiemmakarim #menteripendidikan #merdekabelajar #mentericeo #pendidikangratis #pendidikan https://t.co/xWiUZjDNLF,dari kritik tajam soal kurikulum merdeka hingga penghapusan ujian nasional diskusi ini mengupas berbagai persoalan yang belum tuntas simak rangkuman lengkapnya dalam postingan ini,kritik tajam soal kurikulum merdeka hingga hapus uji nasional diskusi kupas bagai soal belum tuntas simak rangkum lengkap dalam postingan,"['kritik', 'tajam', 'soal', 'kurikulum', 'merdeka', 'hingga', 'hapus', 'uji', 'nasional', 'diskusi', 'kupas', 'bagai', 'soal', 'belum', 'tuntas', 'simak', 'rangkum', 'lengkap', 'dalam', 'postingan']","['kritik', 'tajam', 'soal', 'kurikulum', 'merdeka', 'hingga', 'hapus', 'uji', 'nasional', 'diskusi', 'kupas', 'bagai', 'soal', 'belum', 'tuntas', 'simak', 'rangkum', 'lengkap', 'dalam', 'postingan']"
REVIEW KEGAGALAN KURIKULUM MERDEKA DAN HARAPAN DI ERA MENTERI PENDIDIKAN BARU Instagram: https://t.co/MDajt3hcj2 Website: https://t.co/u8bxrzpwiD Facebook: https://t.co/vqC6j7kYfz,review kegagalan kurikulum merdeka dan harapan di era menteri pendidikan baru instagram website facebook,review gagal kurikulum merdeka harap era menteri didik baru instagram website facebook,"['review', 'gagal', 'kurikulum', 'merdeka', 'harap', 'era', 'menteri', 'didik', 'baru', 'instagram', 'website', 'facebook']","['review', 'gagal', 'kurikulum', 'merdeka', 'harap', 'era', 'menteri', 'didik', 'baru', 'instagram', 'website', 'facebook']"
@ilhampurnama887 Kurikulum Merdeka TOA dipake. Bebas sakarepe teriak-teriak pake TOA untuk belajar membaca koar-koar nyanyi dengan suara cemoreng dan propganda. Merdeka dunia dapat subsidi dari pejabat korup dan garansi masuk surga.,kurikulum merdeka toa dipake bebas sakarepe teriak teriak pake toa untuk belajar membaca koar koar nyanyi dengan suara cemoreng dan propganda merdeka dunia dapat subsidi dari pejabat korup dan garansi masuk surga,kurikulum merdeka toa dipake bebas sakarepe teriak teriak pake toa untuk ajar baca koar koar nyanyi dengan suara coreng propganda merdeka dunia dapat subsidi jabat korup garansi masuk surga,"['kurikulum', 'merdeka', 'toa', 'dipake', 'bebas', 'sakarepe', 'teriak', 'teriak', 'pake', 'toa', 'untuk', 'ajar', 'baca', 'koar', 'koar', 'nyanyi', 'dengan', 'suara', 'coreng', 'propganda', 'merdeka', 'dunia', 'dapat', 'subsidi', 'jabat', 'korup', 'garansi', 'masuk', 'surga']","['kurikulum', 'merdeka', 'toa', 'dipake', 'bebas', 'sakarepe', 'teriak', 'teriak', 'pakai', 'toa', 'untuk', 'ajar', 'baca', 'koar', 'koar', 'nyanyi', 'dengan', 'suara', 'coreng', 'propganda', 'merdeka', 'dunia', 'dapat', 'subsidi', 'jabat', 'korup', 'garansi', 'masuk', 'surga']"
@kegblgnunfaedh katanya kurikulum merdeka. tp kok protes gak boleh.,katanya kurikulum merdeka tp kok protes gak boleh,kata kurikulum merdeka kok protes gak boleh,"['kata', 'kurikulum', 'merdeka', 'kok', 'protes', 'gak', 'boleh']","['kata', 'kurikulum', 'merdeka', 'kok', 'protes', 'tidak', 'boleh']"
Wakil Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Veronica Tan menekankan pentingnya perubahan paradigma dalam pendidikan anak usia dini (PAUD) melalui Kurikulum Merdeka. https://t.co/eRz4KOn90n,wakil menteri pemberdayaan perempuan dan perlindungan anak pppa veronica tan menekankan pentingnya perubahan paradigma dalam pendidikan anak usia dini paud melalui kurikulum merdeka,wakil menteri daya perempuan lindung anak pppa veronica tan tekan penting ubah paradigma dalam didik anak usia dini paud lalu kurikulum merdeka,"['wakil', 'menteri', 'daya', 'perempuan', 'lindung', 'anak', 'pppa', 'veronica', 'tan', 'tekan', 'penting', 'ubah', 'paradigma', 'dalam', 'didik', 'anak', 'usia', 'dini', 'paud', 'lalu', 'kurikulum', 'merdeka']","['wakil', 'menteri', 'daya', 'perempuan', 'lindung', 'anak', 'pppa', 'veronica', 'tan', 'tekan', 'penting', 'ubah', 'paradigma', 'dalam', 'didik', 'anak', 'usia', 'dini', 'paud', 'lalu', 'kurikulum', 'merdeka']"
Kurikulum Merdeka: Lanjut Atau Dikandangkan? https://t.co/wozHK3JO3f https://t.co/fyY8otfMjl,kurikulum merdeka lanjut atau dikandangkan,kurikulum merdeka lanjut atau kandang,"['kurikulum', 'merdeka', 'lanjut', 'atau', 'kandang']","['kurikulum', 'merdeka', 'lanjut', 'atau', 'kandang']"
Selamat gen Z literasi.. Jangan kek kami enggak jelas jaman kapan enggak jelas kehidupan. Kan enak pake kurikulum Merdeka bukan cekcok KTSP apa 13 apa NIM apa Zonasi,selamat gen z literasi jangan kek kami enggak jelas jaman kapan enggak jelas kehidupan kan enak pake kurikulum merdeka bukan cekcok ktsp apa apa nim apa zonasi,selamat gen z literasi jangan kami enggak jelas jaman kapan enggak jelas hidup enak pake kurikulum merdeka bukan cekcok ktsp apa apa nim apa zonasi,"['selamat', 'gen', 'z', 'literasi', 'jangan', 'kami', 'enggak', 'jelas', 'jaman', 'kapan', 'enggak', 'jelas', 'hidup', 'enak', 'pake', 'kurikulum', 'merdeka', 'bukan', 'cekcok', 'ktsp', 'apa', 'apa', 'nim', 'apa', 'zonasi']","['selamat', 'gen', 'z', 'literasi', 'jangan', 'kami', 'tidak', 'jelas', 'zaman', 'kapan', 'tidak', 'jelas', 'hidup', 'enak', 'pakai', 'kurikulum', 'merdeka', 'bukan', 'cekcok', 'ktsp', 'apa', 'apa', 'nim', 'apa', 'zonasi']"
Gak henti-henti ya alumnus kurikulum merdeka ini. Ada aja gebrakannya https://t.co/hzXxRGWMDH,gak henti henti ya alumnus kurikulum merdeka ini ada aja gebrakannya,gak henti henti alumnus kurikulum merdeka ada gebrak,"['gak', 'henti', 'henti', 'alumnus', 'kurikulum', 'merdeka', 'ada', 'gebrak']","['tidak', 'henti', 'henti', 'alumnus', 'kurikulum', 'merdeka', 'ada', 'gebrak']"
@yusrilfahriza Ternyata MU ikut kurikulum merdeka,ternyata mu ikut kurikulum merdeka,nyata mu ikut kurikulum merdeka,"['nyata', 'mu', 'ikut', 'kurikulum', 'merdeka']","['nyata', 'mu', 'ikut', 'kurikulum', 'merdeka']"
@Mdy_Asmara1701 Pendidikan di Republik ini beberapa puluh tahun kedepan susah berkembang : Kurikulum Merdeka menyibukkan guru dgn administrasinya kemudian sbntr mau masuk makan gratis atau apalah itu yg menyibukkan pengawasan atau bntuk laporan administrasi dari guru juga.,pendidikan di republik ini beberapa puluh tahun kedepan susah berkembang kurikulum merdeka menyibukkan guru dgn administrasinya kemudian sbntr mau masuk makan gratis atau apalah itu yg menyibukkan pengawasan atau bntuk laporan administrasi dari guru juga,didik republik beberapa puluh tahun depan susah kembang kurikulum merdeka sibuk guru administrasi kemudian sbntr masuk makan gratis atau apa itu sibuk awas atau bntuk lapor administrasi guru,"['didik', 'republik', 'beberapa', 'puluh', 'tahun', 'depan', 'susah', 'kembang', 'kurikulum', 'merdeka', 'sibuk', 'guru', 'administrasi', 'kemudian', 'sbntr', 'masuk', 'makan', 'gratis', 'atau', 'apa', 'itu', 'sibuk', 'awas', 'atau', 'bntuk', 'lapor', 'administrasi', 'guru']","['didik', 'republik', 'beberapa', 'puluh', 'tahun', 'depan', 'susah', 'kembang', 'kurikulum', 'merdeka', 'sibuk', 'guru', 'administrasi', 'kemudian', 'sbntr', 'masuk', 'makan', 'gratis', 'atau', 'apa', 'itu', 'sibuk', 'awas', 'atau', 'bntuk', 'lapor', 'administrasi', 'guru']"
Saya buka jasa joki pembuatan modul ajar kurikulum merdeka Atau juga bisa yang lebih lengkapnya perangkat ajar 250k udah lengkap dengan bahan ajar/bacaan lkpd soal evaluasi dll tinggal diimplementasikan saja untuk ukin ataupun mengajar yo https://t.co/7q25n8Ynyo,saya buka jasa joki pembuatan modul ajar kurikulum merdeka atau juga bisa yang lebih lengkapnya perangkat ajar k udah lengkap dengan bahan ajar bacaan lkpd soal evaluasi dll tinggal diimplementasikan saja untuk ukin ataupun mengajar yo,saya buka jasa joki buat modul ajar kurikulum merdeka atau bisa lebih lengkap perangkat ajar udah lengkap dengan bahan ajar baca lkpd soal evaluasi tinggal implementasi untuk ukin atau ajar yo,"['saya', 'buka', 'jasa', 'joki', 'buat', 'modul', 'ajar', 'kurikulum', 'merdeka', 'atau', 'bisa', 'lebih', 'lengkap', 'perangkat', 'ajar', 'udah', 'lengkap', 'dengan', 'bahan', 'ajar', 'baca', 'lkpd', 'soal', 'evaluasi', 'tinggal', 'implementasi', 'untuk', 'ukin', 'atau', 'ajar', 'yo']","['aku', 'buka', 'jasa', 'joki', 'buat', 'modul', 'ajar', 'kurikulum', 'merdeka', 'atau', 'bisa', 'lebih', 'lengkap', 'perangkat', 'ajar', 'sudah', 'lengkap', 'dengan', 'bahan', 'ajar', 'baca', 'lkpd', 'soal', 'evaluasi', 'tinggal', 'implementasi', 'untuk', 'ukin', 'atau', 'ajar', 'yo']"
Struktur Kurikulum Merdeka SMP Lengkaop dengan Aturan dan Tipe Pembelajarannya https://t.co/NV24f5jcCN,struktur kurikulum merdeka smp lengkaop dengan aturan dan tipe pembelajarannya,struktur kurikulum merdeka smp lengkaop dengan atur tipe ajar,"['struktur', 'kurikulum', 'merdeka', 'smp', 'lengkaop', 'dengan', 'atur', 'tipe', 'ajar']","['struktur', 'kurikulum', 'merdeka', 'smp', 'lengkaop', 'dengan', 'atur', 'tipe', 'ajar']"
Aplikasi Rapot Kelas 2 Semester 1 Kurikulum Merdeka Lebih Mudah Lebih Bermakna! https://t.co/ZvuWU0VkuS,aplikasi rapot kelas semester kurikulum merdeka lebih mudah lebih bermakna,aplikasi rapot kelas semester kurikulum merdeka lebih mudah lebih makna,"['aplikasi', 'rapot', 'kelas', 'semester', 'kurikulum', 'merdeka', 'lebih', 'mudah', 'lebih', 'makna']","['aplikasi', 'raport', 'kelas', 'semester', 'kurikulum', 'merdeka', 'lebih', 'mudah', 'lebih', 'makna']"
Info joki tugas mata pelajaran SEJARAH KELAS 11 KURIKULUM MERDEKA HARGA PELAJAR PLEASE INRUSHHHH yang dah open!!! #zonauang #zonajajanᅠᅠ #jokitugas,info joki tugas mata pelajaran sejarah kelas kurikulum merdeka harga pelajar please inrushhhh yang dah open,info joki tugas mata ajar sejarah kelas kurikulum merdeka harga ajar please inrushhhh dah open,"['info', 'joki', 'tugas', 'mata', 'ajar', 'sejarah', 'kelas', 'kurikulum', 'merdeka', 'harga', 'ajar', 'please', 'inrushhhh', 'dah', 'open']","['info', 'joki', 'tugas', 'mata', 'ajar', 'sejarah', 'kelas', 'kurikulum', 'merdeka', 'harga', 'ajar', 'tolong', 'inrushhhh', 'sudah', 'buka']"
ATP (Alur Tujuan Pembelajaran) IPA Kelas 7 SMP/MTs Fase D Kurikulum Merdeka #atpkelas7 #atpipa #alurtujuanpembelajaran #atpkurikulummerdeka https://t.co/MRHFZIRFiJ,atp alur tujuan pembelajaran ipa kelas smp mts fase d kurikulum merdeka,atp alur tuju ajar ipa kelas smp mts fase kurikulum merdeka,"['atp', 'alur', 'tuju', 'ajar', 'ipa', 'kelas', 'smp', 'mts', 'fase', 'kurikulum', 'merdeka']","['atp', 'alur', 'tuju', 'ajar', 'ipa', 'kelas', 'smp', 'mts', 'fase', 'kurikulum', 'merdeka']"
 kurikulum merdeka YG MERDEKA SIAPASI ANJENGG,kurikulum merdeka yg merdeka siapasi anjengg,kurikulum merdeka merdeka siapasi anjengg,"['kurikulum', 'merdeka', 'merdeka', 'siapasi', 'anjengg']","['kurikulum', 'merdeka', 'merdeka', 'siapasi', 'anjengg']"
@M_OlineJKT48 nite semangat ulangannya -kurikulum merdeka,nite semangat ulangannya kurikulum merdeka,nite semangat ulang kurikulum merdeka,"['nite', 'semangat', 'ulang', 'kurikulum', 'merdeka']","['malam', 'semangat', 'ulang', 'kurikulum', 'merdeka']"
@makhluktakhidup @tanyarlfes full day school nek pulang jam 5 pikiran capek pengen istirahat masa gaboleh bjirr. lagian kurikulum merdeka gaada pr,full day school nek pulang jam pikiran capek pengen istirahat masa gaboleh bjirr lagian kurikulum merdeka gaada pr,full day school nek pulang jam pikir capek ken istirahat masa gaboleh bjirr lagi kurikulum merdeka gaada pr,"['full', 'day', 'school', 'nek', 'pulang', 'jam', 'pikir', 'capek', 'ken', 'istirahat', 'masa', 'gaboleh', 'bjirr', 'lagi', 'kurikulum', 'merdeka', 'gaada', 'pr']","['penuh', 'hari', 'sekolah', 'nek', 'pulang', 'jam', 'pikir', 'kesal', 'ken', 'istirahat', 'masa', 'gaboleh', 'bjirr', 'lagi', 'kurikulum', 'merdeka', 'tidak ada', 'tugas']"
. Catatan Bahasa Indonesia Kelas 10 Kurikulum Merdeka Semester 1 ㅤㅤ› Laporan Hasil Observasi (LHO) ㅤㅤ› Teks Eksplanasi ㅤㅤ› Teks Eksposisi ㅤㅤ› Kritik Sosial: Teks Anekdot ㅤㅤ› Teks Hikayat source: sekolah twt #studytwt https://t.co/3PI7lwS1jL,catatan bahasa indonesia kelas kurikulum merdeka semester laporan hasil observasi lho teks eksplanasi teks eksposisi kritik sosial teks anekdot teks hikayat source sekolah twt,catat bahasa indonesia kelas kurikulum merdeka semester lapor hasil observasi teks eksplanasi teks eksposisi kritik sosial teks anekdot teks hikayat source sekolah twt,"['catat', 'bahasa', 'indonesia', 'kelas', 'kurikulum', 'merdeka', 'semester', 'lapor', 'hasil', 'observasi', 'teks', 'eksplanasi', 'teks', 'eksposisi', 'kritik', 'sosial', 'teks', 'anekdot', 'teks', 'hikayat', 'source', 'sekolah', 'twt']","['catat', 'bahasa', 'indonesia', 'kelas', 'kurikulum', 'merdeka', 'semester', 'lapor', 'hasil', 'observasi', 'teks', 'eksplanasi', 'teks', 'eksposisi', 'kritik', 'sosial', 'teks', 'anekdot', 'teks', 'hikayat', 'source', 'sekolah', 'twitter']"
halo adakah yg bisa bantuin cari cari data terkait dgn analisis kurikulum merdeka kurikulum darurat sama kurikulum 2013 revisi 2018?? need asap! cariin data ajaa #zonajajanᅠ #zonauang #zonaBA #jokitugas,halo adakah yg bisa bantuin cari cari data terkait dgn analisis kurikulum merdeka kurikulum darurat sama kurikulum revisi need asap cariin data ajaa,halo ada bisa bantuin cari cari data kait analisis kurikulum merdeka kurikulum darurat sama kurikulum revisi asap cariin data ajaa,"['halo', 'ada', 'bisa', 'bantuin', 'cari', 'cari', 'data', 'kait', 'analisis', 'kurikulum', 'merdeka', 'kurikulum', 'darurat', 'sama', 'kurikulum', 'revisi', 'asap', 'cariin', 'data', 'ajaa']","['halo', 'ada', 'bisa', 'bantuin', 'cari', 'cari', 'data', 'kait', 'analisis', 'kurikulum', 'merdeka', 'kurikulum', 'darurat', 'sama', 'kurikulum', 'revisi', 'asap', 'cariin', 'data', 'saja']"
Let me tell you why I think kurikulum merdeka (kurmer) is a fucking joke sbg murid yg dapet kurmer. The whole concept of kurmer kelas 10 pelajarin semua pelajaran IPA dan IPS trs kls 11 nya milih itu menurut gw udh bagus. BUT THE EXECUTION IS TERRIBLE. (1),let me tell you why i think kurikulum merdeka kurmer is a fucking joke sbg murid yg dapet kurmer the whole concept of kurmer kelas pelajarin semua pelajaran ipa dan ips trs kls nya milih itu menurut gw udh bagus but the execution is terrible,let me tell why think kurikulum merdeka kurmer is a fucking joke sbg murid dapet kurmer whole concept kurmer kelas pelajarin semua ajar ipa ips trs kls milih itu turut udh bagus but execution is terrible,"['let', 'me', 'tell', 'why', 'think', 'kurikulum', 'merdeka', 'kurmer', 'is', 'a', 'fucking', 'joke', 'sbg', 'murid', 'dapet', 'kurmer', 'whole', 'concept', 'kurmer', 'kelas', 'pelajarin', 'semua', 'ajar', 'ipa', 'ips', 'trs', 'kls', 'milih', 'itu', 'turut', 'udh', 'bagus', 'but', 'execution', 'is', 'terrible']","['let', 'aku', 'beritahu', 'kenapa', 'think', 'kurikulum', 'merdeka', 'kurmer', 'adalah', 'a', 'fucking', 'joke', 'sebagai', 'siswa', 'dapat', 'kurmer', 'whole', 'concept', 'kurmer', 'kelas', 'pelajarin', 'semua', 'ajar', 'ipa', 'ips', 'terus', 'kelas', 'milih', 'itu', 'turut', 'sudah', 'bagus', 'but', 'execution', 'adalah', 'terrible']"
Hasil kurikulum merdeka R1DO Najis LGBT https://t.co/YFO6EsGkGT,hasil kurikulum merdeka r do najis lgbt,hasil kurikulum merdeka do najis lgbt,"['hasil', 'kurikulum', 'merdeka', 'do', 'najis', 'lgbt']","['hasil', 'kurikulum', 'merdeka', 'do', 'najis', 'lgbt']"
@tanyarlfes Dibilangin murid Indonesia tuh ga ada rasa senang belajar dri dulu Ditambah sok ngide kurikulum merdeka sama orang yg sekolah di internasional school private school sekolah luar negeri. Mana paham susahnya guru Indonesia yg mulut bebusah tpi muridnya udh mikir kawin,dibilangin murid indonesia tuh ga ada rasa senang belajar dri dulu ditambah sok ngide kurikulum merdeka sama orang yg sekolah di internasional school private school sekolah luar negeri mana paham susahnya guru indonesia yg mulut bebusah tpi muridnya udh mikir kawin,dibilangin murid indonesia ga ada rasa senang ajar dri dulu tambah sok ngide kurikulum merdeka sama orang sekolah internasional school private school sekolah luar negeri mana paham susah guru indonesia mulut bebusah tpi murid udh mikir kawin,"['dibilangin', 'murid', 'indonesia', 'ga', 'ada', 'rasa', 'senang', 'ajar', 'dri', 'dulu', 'tambah', 'sok', 'ngide', 'kurikulum', 'merdeka', 'sama', 'orang', 'sekolah', 'internasional', 'school', 'private', 'school', 'sekolah', 'luar', 'negeri', 'mana', 'paham', 'susah', 'guru', 'indonesia', 'mulut', 'bebusah', 'tpi', 'murid', 'udh', 'mikir', 'kawin']","['dibilangin', 'siswa', 'indonesia', 'tidak', 'ada', 'rasa', 'senang', 'ajar', 'dari', 'dulu', 'tambah', 'sok', 'ngide', 'kurikulum', 'merdeka', 'sama', 'orang', 'sekolah', 'internasional', 'sekolah', 'private', 'sekolah', 'sekolah', 'luar', 'negeri', 'mana', 'paham', 'susah', 'guru', 'indonesia', 'mulut', 'bebusah', 'tapi', 'siswa', 'sudah', 'mikir', 'kawin']"
Sayangnya kurikulum merdeka ngambil inspirasi montessori merdekanya doang jadi nama jargon filosofi dan detail2 pentingnya kaga diambil,sayangnya kurikulum merdeka ngambil inspirasi montessori merdekanya doang jadi nama jargon filosofi dan detail pentingnya kaga diambil,sayang kurikulum merdeka ngambil inspirasi montessori merdeka jadi nama jargon filosofi detail penting kaga ambil,"['sayang', 'kurikulum', 'merdeka', 'ngambil', 'inspirasi', 'montessori', 'merdeka', 'jadi', 'nama', 'jargon', 'filosofi', 'detail', 'penting', 'kaga', 'ambil']","['sayang', 'kurikulum', 'merdeka', 'ngambil', 'inspirasi', 'montessori', 'merdeka', 'jadi', 'nama', 'jargon', 'filosofi', 'detail', 'penting', 'tidak', 'ambil']"
Gue mau cerita sejarah terbentuknya metode Montessori metode yg jadi inspirasi kurikulum di banyak sekolah seluruh dunia termasuk kurikulum merdeka,gue mau cerita sejarah terbentuknya metode montessori metode yg jadi inspirasi kurikulum di banyak sekolah seluruh dunia termasuk kurikulum merdeka,mau cerita sejarah bentuk metode montessori metode jadi inspirasi kurikulum banyak sekolah seluruh dunia masuk kurikulum merdeka,"['mau', 'cerita', 'sejarah', 'bentuk', 'metode', 'montessori', 'metode', 'jadi', 'inspirasi', 'kurikulum', 'banyak', 'sekolah', 'seluruh', 'dunia', 'masuk', 'kurikulum', 'merdeka']","['mau', 'cerita', 'sejarah', 'bentuk', 'metode', 'montessori', 'metode', 'jadi', 'inspirasi', 'kurikulum', 'banyak', 'sekolah', 'seluruh', 'dunia', 'masuk', 'kurikulum', 'merdeka']"
@schfess @bluesqyy kak aku mauu kebetulan aku anak smk kurikulum merdeka jadi gada pelajaran fisika biologi kimia dll. apalagi mtknya kureng bgt karna gurunya masuk 6bulan sekali,kak aku mauu kebetulan aku anak smk kurikulum merdeka jadi gada pelajaran fisika biologi kimia dll apalagi mtknya kureng bgt karna gurunya masuk bulan sekali,kak aku mauu betul aku anak smk kurikulum merdeka jadi gada ajar fisika biologi kimia apalagi mtknya reng bgt karna guru masuk bulan sekali,"['kak', 'aku', 'mauu', 'betul', 'aku', 'anak', 'smk', 'kurikulum', 'merdeka', 'jadi', 'gada', 'ajar', 'fisika', 'biologi', 'kimia', 'apalagi', 'mtknya', 'reng', 'bgt', 'karna', 'guru', 'masuk', 'bulan', 'sekali']","['kakak', 'aku', 'mauu', 'betul', 'aku', 'anak', 'smk', 'kurikulum', 'merdeka', 'jadi', 'tidak', 'ajar', 'fisika', 'biologi', 'kimia', 'apalagi', 'mtknya', 'reng', 'sekali', 'karena', 'guru', 'masuk', 'bulan', 'sekali']"
@tawondast @txtdarisisange Mana ada bos malah disuruh mandiri katanya pake kurikulum merdeka,mana ada bos malah disuruh mandiri katanya pake kurikulum merdeka,mana ada bos malah suruh mandiri kata pake kurikulum merdeka,"['mana', 'ada', 'bos', 'malah', 'suruh', 'mandiri', 'kata', 'pake', 'kurikulum', 'merdeka']","['mana', 'ada', 'bos', 'malah', 'suruh', 'mandiri', 'kata', 'pakai', 'kurikulum', 'merdeka']"
