full_text,filtered,cleaned,tokenize,normalisasi
Setelah KTSP Kurtilas Kurikulum Merdeka kira kira kurikulum apa yang bakal dipake sama mentri pendidikan sekarang?,setelah ktsp kurtilas kurikulum merdeka kira kira kurikulum apa yang bakal dipake sama mentri pendidikan sekarang,telah ktsp kurtilas kurikulum merdeka kira kira kurikulum apa bakal dipake sama tri didik sekarang,"['telah', 'ktsp', 'kurtilas', 'kurikulum', 'merdeka', 'kira', 'kira', 'kurikulum', 'apa', 'bakal', 'dipake', 'sama', 'tri', 'didik', 'sekarang']","['telah', 'ktsp', 'kurtilas', 'kurikulum', 'merdeka', 'kira', 'kira', 'kurikulum', 'apa', 'akan', 'dipake', 'sama', 'tri', 'didik', 'sekarang']"
@JhonSitorus_18 @DS_yantie @mikuroQ @Y_Radianto @Anak__Ogi @__AnakKolong @Eil_Thia @seruanhl @Urrangawak @NgkongRoses @TaliUdeng Hasil kurikulum merdeka siswa SMA ga bisa matematika dasar anak SMP ga lancar baca .,hasil kurikulum merdeka siswa sma ga bisa matematika dasar anak smp ga lancar baca,hasil kurikulum merdeka siswa sma ga bisa matematika dasar anak smp ga lancar baca,"['hasil', 'kurikulum', 'merdeka', 'siswa', 'sma', 'ga', 'bisa', 'matematika', 'dasar', 'anak', 'smp', 'ga', 'lancar', 'baca']","['hasil', 'kurikulum', 'merdeka', 'siswa', 'sma', 'tidak', 'bisa', 'matematika', 'dasar', 'anak', 'smp', 'tidak', 'lancar', 'baca']"
Efek kurikulum merdeka #reaction #memes #bola #indonesiavsbahrain #viralvideo https://t.co/VWKvUV3Hln,efek kurikulum merdeka,efek kurikulum merdeka,"['efek', 'kurikulum', 'merdeka']","['efek', 'kurikulum', 'merdeka']"
@JhonSitorus_18 @DS_yantie @mikuroQ @Y_Radianto @Anak__Ogi @__AnakKolong @Eil_Thia @seruanhl @Urrangawak @NgkongRoses @TaliUdeng Klo ini saya beda pendapat dgn anda pak Kurikulum merdeka bagus tp belum waktunya diterapkan diIndonesia. Kurangnya literasi &amp; minat belajar anak2 membuat anak2 jadi BODOH. Sekolah berupaya anak didik tetap naik/lulus wlpn tidak bisa CALISTUNG &amp; ini fakta.,klo ini saya beda pendapat dgn anda pak kurikulum merdeka bagus tp belum waktunya diterapkan diindonesia kurangnya literasi amp minat belajar anak membuat anak jadi bodoh sekolah berupaya anak didik tetap naik lulus wlpn tidak bisa calistung amp ini fakta,klo saya beda dapat anda pak kurikulum merdeka bagus belum waktu terap indonesia kurang literasi minat ajar anak buat anak jadi bodoh sekolah upaya anak didik tetap naik lulus wlpn tidak bisa calistung ini fakta,"['klo', 'saya', 'beda', 'dapat', 'anda', 'pak', 'kurikulum', 'merdeka', 'bagus', 'belum', 'waktu', 'terap', 'indonesia', 'kurang', 'literasi', 'minat', 'ajar', 'anak', 'buat', 'anak', 'jadi', 'bodoh', 'sekolah', 'upaya', 'anak', 'didik', 'tetap', 'naik', 'lulus', 'wlpn', 'tidak', 'bisa', 'calistung', 'ini', 'fakta']","['kalau', 'aku', 'beda', 'dapat', 'kamu', 'bapak', 'kurikulum', 'merdeka', 'bagus', 'belum', 'waktu', 'terap', 'indonesia', 'kurang', 'literasi', 'minat', 'ajar', 'anak', 'buat', 'anak', 'jadi', 'bodoh', 'sekolah', 'upaya', 'anak', 'didik', 'tetap', 'naik', 'lulus', 'wlpn', 'tidak', 'bisa', 'calistung', 'ini', 'fakta']"
@merepetjak @sefkelik Sekolahmu pakai kurikulum merdeka ya?,sekolahmu pakai kurikulum merdeka ya,sekolah pakai kurikulum merdeka,"['sekolah', 'pakai', 'kurikulum', 'merdeka']","['sekolah', 'pakai', 'kurikulum', 'merdeka']"
@kegblgnunfaedh Kurikulum nya merdeka. POV siswa : merdeka mau belajar/ngga POV ortu : merdeka ngasih tuntutan/hukuman pada guru,kurikulum nya merdeka pov siswa merdeka mau belajar ngga pov ortu merdeka ngasih tuntutan hukuman pada guru,kurikulum merdeka pov siswa merdeka ajar ngga pov ortu merdeka ngasih tuntut hukum guru,"['kurikulum', 'merdeka', 'pov', 'siswa', 'merdeka', 'ajar', 'ngga', 'pov', 'ortu', 'merdeka', 'ngasih', 'tuntut', 'hukum', 'guru']","['kurikulum', 'merdeka', 'pov', 'siswa', 'merdeka', 'ajar', 'tidak', 'pov', 'orang tua', 'merdeka', 'ngasih', 'tuntut', 'hukum', 'guru']"
Lah... Kurikulum merdeka menegaskan bahwa siswa bisa fokus dengan skill minat dan bakat nanti diarahkan sama pembimbingnya... Tapi kalau udah ga suka nadiem yah mau gimana,lah kurikulum merdeka menegaskan bahwa siswa bisa fokus dengan skill minat dan bakat nanti diarahkan sama pembimbingnya tapi kalau udah ga suka nadiem yah mau gimana,kurikulum merdeka tegas bahwa siswa bisa fokus dengan skill minat bakat nanti arah sama bimbing tapi kalau udah ga suka nadiem mau gimana,"['kurikulum', 'merdeka', 'tegas', 'bahwa', 'siswa', 'bisa', 'fokus', 'dengan', 'skill', 'minat', 'bakat', 'nanti', 'arah', 'sama', 'bimbing', 'tapi', 'kalau', 'udah', 'ga', 'suka', 'nadiem', 'mau', 'gimana']","['kurikulum', 'merdeka', 'tegas', 'bahwa', 'siswa', 'bisa', 'fokus', 'dengan', 'skill', 'minat', 'bakat', 'nanti', 'arah', 'sama', 'bimbing', 'tapi', 'kalau', 'sudah', 'tidak', 'suka', 'nadiem', 'mau', 'gimana']"
@standarbengkok @kadrunmampos Modal ss hadist merasa paling ngerti islam maksud tebus itu kalo ada 1 orang islam masuk 1 rumah di surga maka orang yahudi atau nasrani masuk satu rumah di neraka. Jadi bukan sebagai pahlawan. Kocak bener ni orang. Dulu ikut kurikulum merdeka ya? Dongo soalnya,modal ss hadist merasa paling ngerti islam maksud tebus itu kalo ada orang islam masuk rumah di surga maka orang yahudi atau nasrani masuk satu rumah di neraka jadi bukan sebagai pahlawan kocak bener ni orang dulu ikut kurikulum merdeka ya dongo soalnya,modal ss hadist rasa paling ngerti islam maksud tebus itu kalo ada orang islam masuk rumah surga maka orang yahudi atau nasrani masuk satu rumah neraka jadi bukan bagai pahlawan kocak bener orang dulu ikut kurikulum merdeka dongo soal,"['modal', 'ss', 'hadist', 'rasa', 'paling', 'ngerti', 'islam', 'maksud', 'tebus', 'itu', 'kalo', 'ada', 'orang', 'islam', 'masuk', 'rumah', 'surga', 'maka', 'orang', 'yahudi', 'atau', 'nasrani', 'masuk', 'satu', 'rumah', 'neraka', 'jadi', 'bukan', 'bagai', 'pahlawan', 'kocak', 'bener', 'orang', 'dulu', 'ikut', 'kurikulum', 'merdeka', 'dongo', 'soal']","['modal', 'screenshot', 'hadist', 'rasa', 'paling', 'ngerti', 'islam', 'maksud', 'tebus', 'itu', 'kalau', 'ada', 'orang', 'islam', 'masuk', 'rumah', 'surga', 'maka', 'orang', 'yahudi', 'atau', 'nasrani', 'masuk', 'satu', 'rumah', 'neraka', 'jadi', 'bukan', 'bagai', 'pahlawan', 'kocak', 'benar', 'orang', 'dulu', 'ikut', 'kurikulum', 'merdeka', 'dongo', 'soal']"
perdebatan antara kurikulum merdeka dan kurikulum sebelumnya yang selalu ada. KWKWKWKWWKWK,perdebatan antara kurikulum merdeka dan kurikulum sebelumnya yang selalu ada kwkwkwkwwkwk,debat antara kurikulum merdeka kurikulum belum selalu ada kwkwkwkwwkwk,"['debat', 'antara', 'kurikulum', 'merdeka', 'kurikulum', 'belum', 'selalu', 'ada', 'kwkwkwkwwkwk']","['debat', 'antara', 'kurikulum', 'merdeka', 'kurikulum', 'belum', 'selalu', 'ada', 'kwkwkwkwwkwk']"
@maureenaudreyy1 @kegblgnunfaedh Bangga dong kan arti dari kurikulum merdeka tidak perlu menghapal. Sesuai perintah pak mentri. Ini hasilnya.,bangga dong kan arti dari kurikulum merdeka tidak perlu menghapal sesuai perintah pak mentri ini hasilnya,bangga kan arti kurikulum merdeka tidak perlu menghapal sesuai perintah pak tri hasil,"['bangga', 'kan', 'arti', 'kurikulum', 'merdeka', 'tidak', 'perlu', 'menghapal', 'sesuai', 'perintah', 'pak', 'tri', 'hasil']","['bangga', 'kan', 'arti', 'kurikulum', 'merdeka', 'tidak', 'perlu', 'menghapal', 'sesuai', 'perintah', 'bapak', 'tri', 'hasil']"
Bocor Wacana Mendikdasmen Abdul Mu ti Mengganti Kurikulum Merdeka Menjadi Kurikulum Deeplearning. Seperti Apa? https://t.co/674OBv1GJj,bocor wacana mendikdasmen abdul mu ti mengganti kurikulum merdeka menjadi kurikulum deeplearning seperti apa,bocor wacana mendikdasmen abdul mu ti ganti kurikulum merdeka jadi kurikulum deeplearning seperti apa,"['bocor', 'wacana', 'mendikdasmen', 'abdul', 'mu', 'ti', 'ganti', 'kurikulum', 'merdeka', 'jadi', 'kurikulum', 'deeplearning', 'seperti', 'apa']","['bocor', 'wacana', 'mendikdasmen', 'abdul', 'mu', 'ti', 'ganti', 'kurikulum', 'merdeka', 'jadi', 'kurikulum', 'deeplearning', 'seperti', 'apa']"
